Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
Planet 1,Mercury,,Planet,1.0,-0.613,5.0,https://science.nasa.gov/mercury/
Planet 2,Venus,,Planet,1.0,-4.38,5.0,https://science.nasa.gov/venus/
Planet 4,Mars,,Planet,1.0,-1.6,5.0,https://science.nasa.gov/mars/
,,,,,,,
Earth 1,Moon,,Moon,1.0,-0.08,5.0,https://science.nasa.gov/moon/
Mars 1,Phobos,,Moon,1.0,11.8,,https://science.nasa.gov/mars/moons/phobos/
Mars 2,Deimos,,Moon,1.0,12.89,,https://science.nasa.gov/mars/moons/deimos/
Jupiter 1,Io,,Moon,1.0,-1.67,3.0,https://science.nasa.gov/jupiter/moons/io/
Jupiter 2,Europa,,Moon,1.0,-1.44,3.0,https://science.nasa.gov/jupiter/moons/europa/
Jupiter 3,Ganymede,,Moon,1.0,-2.1,4.0,https://science.nasa.gov/jupiter/moons/ganymede/
Jupiter 4,Callisto,,Moon,1.0,-0.99,4.0,https://science.nasa.gov/jupiter/moons/callisto/
Saturn 0,Saturn’s rings,,Moon,1.0,,,https://science.nasa.gov/saturn/facts/
Saturn 2,Enceladus,,Moon,1.0,2.1,,https://science.nasa.gov/saturn/moons/enceladus/
Saturn 3,Tethys,,Moon,1.0,0.73,,https://science.nasa.gov/saturn/moons/tethys/
Saturn 4,Dione,,Moon,1.0,0.75,,https://science.nasa.gov/saturn/moons/dione/
Saturn 5,Rhea,,Moon,1.0,0.09,,https://science.nasa.gov/saturn/moons/rhea/
Saturn 6,Titan,,Moon,1.0,-1.3,,https://science.nasa.gov/saturn/moons/titan/
Saturn 8,Iapetus,,Moon,1.0,1.79,,https://science.nasa.gov/saturn/moons/iapetus/
,,,,,,,
1P,Halley,P/1758 Y1,Comet,1.0,4.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1P
2P,Encke,P/1786 B1,Comet,1.0,11.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2P
8P,Tuttle,P/1790 A2,Comet,1.0,8.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=8P
26P,Grigg-Skjellerup,P/1902 O1,Comet,1.0,12.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=26P
41P,Tuttle-Giacobini-Kresak,P/1858 J1,Comet,1.0,10.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=41P
45P,Honda-Mrkos-Pajdusakova,P/1948 X1,Comet,1.0,13.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=45P
46P,Wirtanen,P/1948 A1,Comet,1.0,14.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=46P
73P-B,Schwassmann-Wachmann 3-B,,Comet,1.0,9.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=73P-B
73P-C,Schwassmann-Wachmann 3-C,,Comet,1.0,9.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=73P-C
103P,Hartley 2,P/1986 E2,Comet,1.0,8.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=103P
209P,LINEAR,P/2004 CB,Comet,1.0,17.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=209P
289P,Blanpain,P/1819 W1,Comet,1.0,19.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=289P
300P,Catalina,P/2005 JQ5,Comet,1.0,16.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=300P
,IRAS-Araki-Alcock,C/1983 H1,Comet,1.0,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=C%2F1983%20H1
,Sugano-Saigusa-Fujikawa,C/1983 J1,Comet,1.0,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=C%2F1983%20J1
,Machholz,C/2004 Q2,Comet,1.0,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=C%2F2004%20Q2
,Catalina,C/2013 UQ4,Comet,1.0,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=C%2F2013%20UQ4
,,,,,,,
1,Ceres,A801 AA,MBA,1.0,3.33,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Ceres
2,Pallas,A802 FA,MBA,1.0,4.1,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Pallas
3,Juno,A804 RA,MBA,1.0,5.18,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Juno
4,Vesta,A807 FA,MBA,1.0,3.25,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Vesta
5,Astraea,A845 XA,MBA,1.0,6.99,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Astraea
7,Iris,A847 PA,MBA,1.0,5.64,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Iris
8,Flora,A847 UA,MBA,1.0,6.61,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Flora
9,Metis,A848 HA,MBA,1.0,6.34,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=Metis
12,Victoria,A850 RA,MBA,1.0,7.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=12
13,Egeria,A850 VA,MBA,1.0,6.91,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=13
14,Irene,A851 KA,MBA,1.0,6.55,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=14
15,Eunomia,A851 OA,MBA,1.0,5.41,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=15
16,Psyche,A852 FA,MBA,1.0,6.21,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=16
19,Fortuna,A852 QA,MBA,1.0,7.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=19
22,Kalliope,A852 WA,MBA,1.0,6.81,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=22
23,Thalia,A852 XA,MBA,1.0,7.17,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=23
25,Phocaea,A853 GB,MBA,1.0,7.88,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=25
28,Bellona,A854 EA,MBA,1.0,7.26,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=28
31,Euphrosyne,A854 RA,MBA,1.0,6.86,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=31
36,Atalante,A855 TA,MBA,1.0,8.58,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=36
38,Leda,A856 AA,MBA,1.0,8.49,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=38
41,Daphne,A856 KA,MBA,1.0,7.64,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=41
44,Nysa,A857 KA,MBA,1.0,6.75,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=44
46,Hestia,A857 QA,MBA,1.0,8.55,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=46
50,Virginia,A857 TA,MBA,1.0,9.47,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=50
51,Nemausa,A858 BA,MBA,1.0,7.75,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=51
53,Kalypso,A858 GA,MBA,1.0,8.92,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=53
54,Alexandra,A858 RA,MBA,1.0,7.99,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54
56,Melete,A857 RB,MBA,1.0,8.57,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=56
59,Elpis,A860 RA,MBA,1.0,8.13,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=59
60,Echo,A860 RB,MBA,1.0,8.65,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=60
64,Angelina,A861 EA,MBA,1.0,7.8,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=64
66,Maja,A861 GA,MBA,1.0,9.51,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=66
69,Hesperia,A861 HC,MBA,1.0,7.23,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=69
71,Niobe,A861 PA,MBA,1.0,7.24,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=71
80,Sappho,A864 JA,MBA,1.0,8.07,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=80
83,Beatrix,A865 HA,MBA,1.0,8.75,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=83
85,Io,A865 SA,MBA,1.0,7.96,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=85
